"Date","Firm","Action","Rating","Price Target","Price After One Year","TargetAchieved","Ticker"
2016-06-06,"Robert W. Baird","Reiterated Rating","Outperform",42,59.84,1,"ATVI"
2016-05-27,"Pacific Crest","Initiated Coverage","Overweight",43,58.580002,1,"ATVI"
2016-05-26,"Macquarie","Reiterated Rating","Outperform",40,58.279999,1,"ATVI"
2016-05-22,"Jefferies Group LLC","Reiterated Rating","Buy",45,57.119999,1,"ATVI"
2016-05-09,"Stifel Nicolaus","Boost Price Target","Buy",45,54.619999,1,"ATVI"
2016-05-08,"Pacific Crest","Reiterated Rating","Buy",41,53.990002,1,"ATVI"
2016-05-09,"MKM Partners","Boost Price Target","Buy",40,54.619999,1,"ATVI"
2016-05-07,"Robert W. Baird","Reiterated Rating","Outperform",42,53.990002,1,"ATVI"
2016-05-06,"Barclays PLC","Boost Price Target","Overweight",38,53.990002,1,"ATVI"
2016-05-06,"Jefferies Group LLC","Reiterated Rating","Buy",45,53.990002,1,"ATVI"
2016-05-06,"Benchmark Co.","Reiterated Rating","Buy",40.45,53.990002,1,"ATVI"
2016-05-06,"Mizuho","Boost Price Target","Buy",42,53.990002,1,"ATVI"
2016-05-05,"Piper Jaffray Companies","Reiterated Rating","Overweight",39,53.830002,1,"ATVI"
2016-05-05,"Wedbush","Reiterated Rating","Outperform",40,53.830002,1,"ATVI"
2016-05-03,"MKM Partners","Boost Price Target","Buy",38,52.84,1,"ATVI"
2016-04-13,"Stifel Nicolaus","Reiterated Rating","Buy",40,48.419998,1,"ATVI"
2016-03-31,"Piper Jaffray Companies","Reiterated Rating","Buy",39,49.860001,1,"ATVI"
2016-03-17,"Barclays PLC","Boost Price Target","Overweight",35,49.130001,1,"ATVI"
2016-03-14,"Sterne Agee CRT","Reiterated Rating","Buy",45,49.080002,1,"ATVI"
2016-02-16,"Stifel Nicolaus","Lower Price Target","Buy",35,45.389999,1,"ATVI"
2016-02-16,"Hilliard Lyons","Upgrade","Buy",29.23,45.389999,1,"ATVI"
2016-02-16,"Robert W. Baird","Reiterated Rating","Outperform",38,45.389999,1,"ATVI"
2016-02-12,"MKM Partners","Lower Price Target","Buy",34,45.700001,1,"ATVI"
2016-02-12,"Wedbush","Lower Price Target","Outperform",40,45.700001,1,"ATVI"
2016-02-12,"Benchmark Co.","Lower Price Target","Buy",37.63,45.700001,1,"ATVI"
2016-02-12,"Macquarie","Lower Price Target","Outperform",33,45.700001,1,"ATVI"
2016-02-12,"Barclays PLC","Lower Price Target","Overweight",32,45.700001,1,"ATVI"
2016-02-12,"Mizuho","Reiterated Rating","Buy",35,45.700001,1,"ATVI"
2016-01-27,"Piper Jaffray Companies","Reiterated Rating","In-Line",42,39.610001,0,"ATVI"
2016-01-25,"Credit Suisse Group","Boost Price Target","Outperform",41,39.560001,0,"ATVI"
2016-01-21,"MKM Partners","Reiterated Rating","Buy",38,38.529999,1,"ATVI"
2016-01-01,"Macquarie","Reiterated Rating","Outperform",36,36.639999,1,"ATVI"
2015-12-29,"Pacific Crest","Reiterated Rating","Buy",41,36.48,0,"ATVI"
2015-11-11,"Argus","Boost Price Target","Buy",41,39.41,0,"ATVI"
2015-11-05,"KeyCorp","Boost Price Target","Overweight",41,41.09,1,"ATVI"
2015-11-04,"Piper Jaffray Companies","Reiterated Rating","Overweight",38,41.700001,1,"ATVI"
2015-11-04,"Robert W. Baird","Reiterated Rating","Outperform",36,41.700001,1,"ATVI"
2015-11-04,"Macquarie","Boost Price Target","Outperform",36,41.700001,1,"ATVI"
2015-11-04,"Wedbush","Reiterated Rating","Outperform",47,41.700001,0,"ATVI"
2015-11-04,"Pacific Crest","Boost Price Target","Overweight",41,41.700001,1,"ATVI"
2015-11-04,"Credit Suisse Group","Boost Price Target","Outperform",40,41.700001,1,"ATVI"
2015-11-04,"Cowen and Company","Boost Price Target","Outperform",44,41.700001,0,"ATVI"
2015-11-04,"Mizuho","Boost Price Target","Buy",42,41.700001,0,"ATVI"
2015-11-03,"Macquarie","Reiterated Rating","Outperform",36,43.369999,1,"ATVI"
2015-11-02,"Bank of America Corporation","Downgrade","Neutral",37,42.599998,1,"ATVI"
2015-10-23,"MKM Partners","Boost Price Target","Buy",38,45.470001,1,"ATVI"
2015-10-23,"Sterne Agee CRT","Reiterated Rating","Buy",39,45.470001,1,"ATVI"
2015-10-22,"Credit Suisse Group","Reiterated Rating","Buy",38,45.470001,1,"ATVI"
2015-10-02,"Stifel Nicolaus","Boost Price Target","Buy",37,44.099998,1,"ATVI"
2015-09-28,"Piper Jaffray Companies","Reiterated Rating","Overweight",36,44.16,1,"ATVI"
2015-09-28,"Cowen and Company","Reiterated Rating","Outperform",35,44.16,1,"ATVI"
2015-09-22,"Robert W. Baird","Reiterated Rating","Outperform",36,44.509998,1,"ATVI"
2015-09-15,"Barclays PLC","Reiterated Rating","Overweight",35,44.59,1,"ATVI"
2015-09-09,"Piper Jaffray Companies","Reiterated Rating","Buy",33,42.290001,1,"ATVI"
2015-08-18,"Argus","Reiterated Rating","Buy",34,40.02,1,"ATVI"
2015-08-10,"Piper Jaffray Companies","Boost Price Target","Overweight",33,41.099998,1,"ATVI"
2015-08-06,"Sterne Agee CRT","Boost Price Target","Buy",32,40.610001,1,"ATVI"
2015-08-06,"Pacific Crest","Reiterated Rating","Overweight",30,40.610001,1,"ATVI"
2015-08-06,"Stifel Nicolaus","Boost Price Target","Buy",33,40.610001,1,"ATVI"
2015-08-05,"Piper Jaffray Companies","Reiterated Rating","Buy",30,40.560001,1,"ATVI"
2015-08-05,"Cowen and Company","Reiterated Rating","Buy",28,40.560001,1,"ATVI"
2015-08-05,"Barclays PLC","Boost Price Target","Overweight",30,40.560001,1,"ATVI"
2015-08-05,"Wedbush","Reiterated Rating","Outperform",37,40.560001,1,"ATVI"
2015-08-05,"MKM Partners","Boost Price Target","Buy",32,40.560001,1,"ATVI"
2015-08-05,"Jefferies Group LLC","Boost Price Target","Buy",33,40.560001,1,"ATVI"
2015-08-05,"Mizuho","Reiterated Rating","Buy",31,40.560001,1,"ATVI"
2015-08-05,"Brean Capital","Reiterated Rating","Buy",32,40.560001,1,"ATVI"
2015-07-29,"Wedbush","Reiterated Rating","Outperform",31,40.16,1,"ATVI"
2015-07-28,"Pacific Crest","Reiterated Rating","Overweight",30,40.27,1,"ATVI"
2015-07-28,"Brean Capital","Boost Price Target","Buy",30,40.27,1,"ATVI"
2015-07-27,"MKM Partners","Boost Price Target","Buy",30,40.889999,1,"ATVI"
2015-07-24,"Piper Jaffray Companies","Reiterated Rating","Overweight",27,42.400002,1,"ATVI"
2015-07-18,"Bank of America Corporation","Boost Price Target","Buy",30,42.139999,1,"ATVI"
2015-07-17,"Brean Capital","Reiterated Rating","Buy",28,42.139999,1,"ATVI"
2015-07-10,"Piper Jaffray Companies","Reiterated Rating","Buy",27,42.200001,1,"ATVI"
2015-07-07,"Pacific Crest","Reiterated Rating","Overweight",30,40.389999,1,"ATVI"
2015-06-26,"Mizuho","Initiated Coverage","Buy",29,36.150002,1,"ATVI"
2015-06-24,"Macquarie","Reiterated Rating","Outperform",26,36.98,1,"ATVI"
2015-06-24,"Brean Capital","Reiterated Rating","Buy",28,36.98,1,"ATVI"
2015-06-23,"MKM Partners","Reiterated Rating","Buy",27,38.919998,1,"ATVI"
2016-06-07,"Barclays PLC","Boost Price Target","",75,143.619995,1,"ADBE"
2016-06-01,"Credit Suisse Group","Boost Price Target","Neutral",70,141.380005,1,"ADBE"
2016-04-21,"Credit Suisse Group","Lower Price Target","Neutral",85,131.520004,1,"ADBE"
2016-04-12,"FBR & Co","Boost Price Target","Mkt Perform",115,129.380005,1,"ADBE"
2016-04-04,"Dougherty & Co","Boost Price Target","Buy",122,130.039993,1,"ADBE"
2016-03-31,"Rosenblatt Securities","Reiterated Rating","Buy",112,130.130005,1,"ADBE"
2016-03-31,"Canaccord Genuity","Initiated Coverage","Buy",110,130.130005,1,"ADBE"
2016-03-24,"Deutsche Bank AG","Boost Price Target","Buy",120,127.699997,1,"ADBE"
2016-03-23,"Bank of America Corporation","Reiterated Rating","Buy",109,126.870003,1,"ADBE"
2016-03-23,"Morgan Stanley","Reiterated Rating","Hold",100,126.870003,1,"ADBE"
2016-03-18,"Deutsche Bank AG","Reiterated Rating","Buy",120,126.309998,1,"ADBE"
2016-03-18,"Credit Suisse Group","Boost Price Target","Neutral",85,126.309998,1,"ADBE"
2016-03-18,"Citigroup Inc.","Reiterated Rating","Buy",114,126.309998,1,"ADBE"
2016-03-18,"Sanford C. Bernstein","Boost Price Target","Outperform",113,126.309998,1,"ADBE"
2016-03-18,"Wunderlich","Boost Price Target","Hold",99,126.309998,1,"ADBE"
2016-03-18,"FBR & Co","Reiterated Rating","Market Perform",100,126.309998,1,"ADBE"
2016-03-18,"Royal Bank Of Canada","Boost Price Target","Outperform",104,126.309998,1,"ADBE"
2016-03-18,"Goldman Sachs Group, Inc. (The)","Lower Price Target","Neutral",92,126.309998,1,"ADBE"
2016-03-18,"Dougherty & Co","Boost Price Target","Buy",116,126.309998,1,"ADBE"
2016-03-09,"Goldman Sachs Group, Inc. (The)","Boost Price Target","Neutral",101,119.910004,1,"ADBE"
2016-02-18,"Citigroup Inc.","Lower Price Target","",92,119.629997,1,"ADBE"
2016-02-08,"Royal Bank Of Canada","Lower Price Target","",101,116.129997,1,"ADBE"
2016-01-14,"Dougherty & Co","Initiated Coverage","Buy",114,108,0,"ADBE"
2016-01-06,"Credit Suisse Group","Boost Price Target","Neutral",70,108.300003,1,"ADBE"
2015-12-14,"Argus","Boost Price Target","Buy",110,105.809998,0,"ADBE"
2015-12-13,"Rosenblatt Securities","Reiterated Rating","Buy",112,106.150002,0,"ADBE"
2015-12-11,"Stephens","Reiterated Rating","Buy",115,105.160004,0,"ADBE"
2015-12-11,"Susquehanna Bancshares Inc","Boost Price Target","Positive",110,105.160004,0,"ADBE"
2015-12-11,"Robert W. Baird","Boost Price Target","Outperform",100,105.160004,1,"ADBE"
2015-12-11,"Pacific Crest","Boost Price Target","Overweight",110,105.160004,0,"ADBE"
2015-12-11,"JMP Securities","Boost Price Target","Market Outperform",97,105.160004,1,"ADBE"
2015-12-11,"KeyCorp","Lower Price Target","Overweight",90,105.160004,1,"ADBE"
2015-12-11,"J P Morgan Chase & Co","Reiterated Rating","Overweight",100,105.160004,1,"ADBE"
2015-12-11,"Pivotal Research","Reiterated Rating","Buy",104,105.160004,1,"ADBE"
2015-12-11,"Royal Bank Of Canada","Boost Price Target","Outperform",112,105.160004,0,"ADBE"
2015-12-11,"Wunderlich","Boost Price Target","Hold",94,105.160004,1,"ADBE"
2015-12-08,"Deutsche Bank AG","Boost Price Target","Buy",110,103.5,0,"ADBE"
