"Date","Firm","Action","Rating","Price Target","Price After One Year","Price Difference","Ticker","Argus","Atlantic Securities","Axiom Securities","B. Riley","Bank of America Corp","Barclays PLC","Benchmark Co.","BMO Capital Markets","Brean Capital","Canaccord Genuity","Cantor Fitzgerald","Citigroup Inc","Cowen and Company","Craig Hallum","Credit Suisse Group AG","DA Davidson","Deutsche Bank AG","Dougherty & Co","Evercore ISI","FBN Securities","FBR & Co","Goldman Sachs Group Inc","Hilliard Lyons","Jefferies Group LLC","JMP Securities","JPMorgan Chase & Co.","KeyCorp","Leerink Swann","Macquarie","Maxim Group","Mizuho","MKM Partners","Moffett Nathanson","Monness Crespi & Hardt","Morgan Stanley","Needham & Company LLC","Nomura","Oppenheimer Holdings Inc.","Pacific Crest","Piper Jaffray Companies","Pivotal Research","Raymond James Financial, Inc.","Robert W. Baird","Rosenblatt Securities","Royal Bank of Canada","S&P Equity Research","Sanford C. Bernstein","Societe Generale","Stephens","Sterne Agee CRT","Stifel Nicolaus","SunTrust Banks, Inc.","Susquehanna Bancshares Inc","Wedbush","Wells Fargo & Co","William Blair","Wunderlich","Boost Price Target","Downgrade","Initiated Coverage","Lower Price Target","Reiterated Rating","Set Price Target","Upgrade","","Buy","Conviction-Buy","Equal Weight","Hold","In-Line","Market Outperform","Market Perform","Mkt Perform","Neutral","Outperform","Overweight","Positive","Sector Perform","Sell","Strong-Buy","Top Pick","Underperform"
2016-06-06,"Robert W. Baird","Reiterated Rating","Outperform",42,59.84,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05-27,"Pacific Crest","Initiated Coverage","Overweight",43,58.580002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-05-26,"Macquarie","Reiterated Rating","Outperform",40,58.279999,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05-22,"Jefferies Group LLC","Reiterated Rating","Buy",45,57.119999,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-09,"Stifel Nicolaus","Boost Price Target","Buy",45,54.619999,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-08,"Pacific Crest","Reiterated Rating","Buy",41,53.990002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-09,"MKM Partners","Boost Price Target","Buy",40,54.619999,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-07,"Robert W. Baird","Reiterated Rating","Outperform",42,53.990002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05-06,"Barclays PLC","Boost Price Target","Overweight",38,53.990002,1,"ATVI",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-05-06,"Jefferies Group LLC","Reiterated Rating","Buy",45,53.990002,1,"ATVI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
